" The customer does not exist in the system anymore.",," 该客户已不存在"
" [deleted]"," [已经删除]"
"Catalog Rewrites","目录重写"
"Categories","种类"
"Category:","分类"
"Chairs","主持"
"Change Orientation","改变方向"
"Channel","频道"
"Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>.","图表被禁用. 如果你想激活图标, 请点击 <a href=""%s"">这里</a>."
"Checkbox","复选框"
"Child Transactions","子图表"
"Choose Store View","选择商店视图"
"Choose a selection...","选择一个..."
"Choose an attribute","选择属性"
"Chosen category does not associated with any website, ","选择一个没有关联过其他站点的分类, "
"Chosen product does not associated with any website, ","选择一个没有关联过其他站点的产品, "
"Clear","清除"
"Close","关闭"
"Comment text field cannot be empty.","评论框不能为空白"
"Comments History","评论记录"
"Complete","完成"
"Configuration","配置"
"Confirmed email:","已验证的邮件："
"Connect with the Magento Community","与Magento社区连接"
"Contents","内容"
"Continue","继续"
"Convert to Plain Text","转换为纯文本格式"
"Cookie (unsafe)","Cookie (不安全)"
"Country","国家"
"Country:","国家："
"Coupons","优惠价"
"Create","创建"
"Create DB Backup","创建数据库备份"
"Create New Attribute","创建新的属性"
"Create URL Rewrite:","创建网址重写"
"Created At","创建于"
"Credit Card %s","信用卡 %s"
"Credit Card Number","信用卡号"
"Credit Card Number: xxxx-%s","信用卡号：xxxx-%s"
"Credit Card Type","信用卡类型"
"Credit Card Type: %s","信用卡类型：%s"
"Credit Memo History","付款通知历史记录"
"Credit Memo Totals","付款通知总计"
"Credit Memos","付款通知单"
"Credit memo #%s comment added","付款通知 #%s 添加注释"
"Credit memo #%s created","付款通知 #%s 创建"
"Credit memo\'s total must be positive.","付款通知总数必须是积极的."
"Currency","货币"
"Currency Information","货币信息"
"Currency Setup Section","货币设置单元"
"Current Configuration Scope:","当前设置范围："
"Current Month","本月"
"Custom","自定义"
"Custom Colors","自定义颜色"
"Custom Variable ""%s""","客户自定义变量 ""%s"""
"Custom Variables","自定义变量"
"Customer","客户"
"Customer Group:","客户分组："
"Customer Groups","客户组"
"Customer Name","客户姓名"
"Customer Reviews","客户评论"
"Customer Shopping Carts","顾客购物车"
"Customer Since:","客户来自于:"
"Customer Tax Classes","客户税类型"
"Customer with the same email already exists.","已有相同邮件地址的客户。"
"Customers","客户"
"Customers by Number of Orders","订单号排序"
"Customers by Orders Total","订单总数排序"
"DHTML Date/Time Selector","动态 HTML 日期/时间选择器"
"Dashboard","控制台"
"Data Format","数据格式"
"Data transfer:","数据传输："
"Database","数据库"
"Dataflow - Advance Profiles","数据流 - 高级配置文件"
"Dataflow - Advanced Profiles","数据流 - 高级配置文件"
"Dataflow - Profiles","数据流 - 配置文件"
"Date","日期"
"Date & Time","日期和时间"
"Date Added","增加日期"
"Date Updated","更新日期"
"Date selection:","日期选择："
"Date selector","选择日期"
"Day","天"
"Decimal separator:","小数点分隔符:"
"Default (Admin) Values","默认(管理)值"
"Default Billing Address","默认账单地址"
"Default Config","缺省设置"
"Default Template from Locale","界面的缺省模版"
"Default Values","缺省值"
"Default display currency ""%s"" is not available in allowed currencies.","默认显示货币 ""%s"" 不在允许货币列表中"
"Default scope","缺省范围"
"Delete","删除"
"Delete %s","删除 %s"
"Delete %s '%s'","删除 %s '%s'"
"Delete File","删除文件"
"Delete Image","删除图片"
"Delete Profile","删除配置文件"
"Delete Role","删除角色"
"Delete Store","删除商店"
"Delete Store View","删除商店界面"
"Delete Template","删除模板"
"Delete User","删除用户"
"Delete Website","删除网站"
"Description","描述"
"Design","设计"
"Design Section","设计部门"
"Details","详情"
"Developer Section","程序员单元"
"Direction:","方向："
"Disable","禁用"
"Disabled","禁用"
"Display %s first","将 %s 显示在第一列"
"Display default currency","显示缺省货币"
"Distributed under GNU LGPL. See %s for details.","使用 GNU LGPL 分发，详情请访问 %s ."
"Do not enable AVS or CSC options.  The do not work when using Payflow Link Silent Mode.","请勿激活AVS或者CSC选项.  使用payflow不记录状态时不工作."
"Do not set any fields in the Billing and Shipping Information block as editable in your Payflow accout.","请不要设置任何字段到账单和运输地址块,因为在你的payflow账户里可编辑."
"Do you really want to KILL parallel process and start new indexing process?","您真的要终止平行进程并启动新的索引进程吗？"
"Download","下载"
"Downloads","下载区"
"Drag to move","拖动"
"Drop-down","下拉"
"Edit","编辑"
"Edit Design Change","修改设计更改"
"Edit Email Template","修改邮件模板"
"Edit Filter","编辑过滤项"
"Edit Poll","修改投票"
"Edit Queue","编辑列队"
"Edit Review","编辑评论"
"Edit Role","修改角色"
"Edit Store View","修改商店界面"
"Edit System Template","修改系统模板"
"Edit Template","修改模板"
"Edit URL Rewrite","修改网址重写"
"Edit User","修改用户"
"Edit User '%s'","修改用户'%s'"
"Edit Website","修改网址"
"Email","电子邮件"
"Email Address:","电子邮件："
"Email Preview","预览电子邮件"
"Email to a Friend","发邮件给朋友"
"Email:","电子邮件："
"Enable","启用"
"Enable Secure Token:","激活安全标记:"
"Enabled","激活"
"Enclose Values In:","包括值："
"Entity Attributes","实体属性集"
"Entity Type","实体类型"
"Entity type:","实体类型："
"Excel XML","优先于XML"
"Excl. Tax","税除外"
"Expiration Date","截止日期"
"Expiration Date: %s/%s","截止日期: %s/%s"
"Export","导出"
"Export CSV","导出 CSV"
"Export FAQ","导出常见问题"
"Export Filters","导出条件"
"Export to:","导出到："
"Export:","导出："
"Extension","扩展"
"Extensions","扩展"
"FILTERS APPLIED","应用过滤"
"FTP Host[:Port]","FTP 主机[:端口]"
"Failed to add a product to cart by id ""%s"".","按序号 ""%s"" 添加商品到购物车失败"
"Failed to cancel the billing agreement.","取消账单协议失败."
"Failed to clear the JavaScript/CSS cache.","清除JavaScript/CSS缓存失败."
"Failed to delete the billing agreement.","删除账单协议失败."
"Failed to update the profile.","更新配置文件失败."
"Field","字段"
"Field Mapping","字段映射"
"File","文件"
"File Information","文件信息"
"File System","文件系统"
"File name:","文件名："
"File size should be more than 0 bytes","文件要大于0字节"
"Files","文件"
"Final Price","最终价格"
"Finished profile execution.","完成运行配置文件。"
"First Invoice Created Date","第一次发票创建时间"
"First Name","名"
"First Name is required field.","名不能为空."
"First Name:","名："
"Fixed","固定的"
"Flush Catalog Images Cache","刷新目录图片缓存"
"Flush JavaScript/CSS Cache","刷新JavaScript/CSS缓存"
"For category","用于分类"
"For latest version visit: %s","要了解最新版本信息，请访问: %s"
"For product","用于商品"
"Forgot your password?","忘记您的密码了？"
"Forgot your user name or password?","忘记您的用户名或密码了？"
"From","从"
"GLOBAL","全局"
"Gb","Gb"
"General Information","基本信息"
"General Section","基本项"
"Get Image Base64","获取图片的Base64编码"
"Get help for this page","查看本页面的帮助"
"Global Attribute","全局属性"
"Global Record Search","全局搜索记录"
"Global Search","全站搜索"
"Go Today","转至当前日期"
"Go to messages inbox","转到收件箱"
"Go to notifications","转到通知箱"
"Google Base","Google Base"
"Google Base Items","Google Base项目"
"Google Sitemaps","Google 网站地图"
"Grand Total","总计"
"Grid (default) / List","多栏(缺省)/单栏"
"Grid Only","仅多栏"
"Group:","分组："
"Guest","访客"
"HTTP (unsecure)","HTTP (不安全)"
"HTTPS (SSL)","HTTPS (SSL)"
"Help Us Keep Magento Healthy - Report All Bugs","协助我们完善Magento - 报告所有错误"
"Helper for options rendering doesn't implement required interface.","Helper for options rendering doesn't implement required interface."
"Home","首页"
"ID","编号"
"ID Path","编号路径"
"IP Address","IP 地址"
"IPN (Instant Payment Notification) Only","只有IPN(及时付款通知)"
"If this message persists, please contact the store owner.","如果此问题持续存在，请联系店铺经营者."
"If your Magento instance is used for multiple websites, you must configure a separate Payflow Link account for each website.","如果你是使用的Magento多店, 你必须配置一个单独的Payflow连接账户给其他的站点."
"Ignore","忽略"
"Images","图片"
"Images (.gif, .jpg, .png)","图片 (.gif, .jpg, .png)"
"Images Cache","图片缓存"
"Import","导入"
"Import / Export FAQ (Frequently Asked Questions)","导入/导出 FAQ (常见问题)"
"Import FAQ","导入FAQ"
"Import Service","导入服务"
"Import and Export","导入和导出"
"Import and Export Tax Rates","导入和导出税率"
"Import/Export","导入/导出"
"Import/Export Advanced","高级导入/导出"
"Import/Export Profile","导入/导出配置文件"
"Important: ","重要事项: "
"Imported <strong>%s</strong> records","导入了<strong>%s</strong>个记录"
"In","在"
"In Database:","在数据库："
"In File:","在文件："
"In Stock","有库存"
"Inactive","不活动的"
"Inactive Tabs","不活动的选项卡"
"Incl. Tax","含税"
"Include","包含"
"Incoming Message","收到的消息"
"Insert Variable...","插入变量..."
"Interactive","交互式"
"Interface Locale: %s","界面语言：%s"
"Invalid Form Key. Please refresh the page.","无效的表单密钥. 请刷新这个页面."
"Invalid Import Service Specified","指定的导入服务不正确"
"Invalid POST data (please check post_max_size and upload_max_filesize settings in your php.ini file).","POST 数据不正确（请检查 php.ini 中 post_max_size 和 upload_max_filesize 设置）"
"Invalid Secret Key. Please refresh the page.","无效密钥，请刷新本页."
"Invalid Username or Password.","用户名或密码不正确。"
"Invalid directory: %s","目录不正确：%s"
"Invalid email address ""%s"".","无效电子邮箱地址 ""%s"""
"Invalid file: %s","文件不正确：%s"
"Invalid input data for %s => %s rate","输入的数据 %s => %s 比率不正确"
"Invalid parent block for this block","此块的父级块错误"
"Invalid parent block for this block.","此块的父级块错误."
"Invalid sender name ""%s"". Please use only visible characters and spaces.","失败的发送者名 ""%s"". 请使用可见字符和空格."
"Invalidated","无效的"
"Inventory Stock Status","库存状态"
"Invoice #%s comment added","发票#%s增加了新备注"
"Invoice #%s created","生成发票#%s"
"Invoice History","发票记录"
"Invoice Totals","发票总计"
"Invoice canceling error.","发票复核错误."
"Invoice capturing error.","发票锁定错误."
"Invoice voiding error.","发票无效错误."
"Invoices","发票"
"Is Closed","已经关闭"
"Issue Number","发行号码"
"Issuer: %s","发行人: %s"
"Items","项"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","JavaScript/CSS缓存"
"Kb","字节"
"Last 24 Hours","最近24小时"
"Last 5 Orders","最近5个订单"
"Last 5 Search Terms","最近5个搜索项"
"Last 7 Days","最近7天"
"Last Credit Memo Created Date","最新的付款通知创建时间"
"Last Invoice Created Date","最新的发票创建时间"
"Last Logged In (%s):","上次登录时间 (%s):"
"Last Logged In:","最近登录："
"Last Name","姓"
"Last Name is required field.","姓不能为空."
"Last Name:","姓："
"Last updated: %s. To refresh last day\'s <a href=""%s"">statistics</a>, click <a href=""%s"">here</a>","最新更新: %s. 刷新最后一天 <a href=""%s"">统计</a>, 点击 <a href=""%s"">这里</a>"
"Latest Message:","最新消息："
"Layered Navigation Indices","层导航索引"
"Layered Navigation Indices were refreshed.","层导航索引已经被刷新."
"Leave empty to use tax identifier","允许税的标识符为空"
"Lifetime Sales","销售总额"
"Lifetime statistics have been updated.","Lifetime统计,已成功更新"
"Links","链接"
"Links with associated products will retain only after saving current product.","连接相关的产品将只保留当前的产品."
"List (default) / Grid","单栏(缺省)/多栏"
"List Only","仅单栏"
"Load Template","加载模板"
"Load default template","加载缺省模板"
"Loading...","加载中..."
"Local Server","本地服务器"
"Local/Remote Server","本地/远程服务器"
"Locale","本地化"
"Log In","登陆"
"Log Out","退出"
"Log in to Admin Panel","登录管理面板"
"Log into Magento Admin Page","登录 Magento 管理页面"
"Logged in as %s","登录用户 %s"
"Login","登录"
"Low Stock","最低库存"
"MAJOR","重要"
"MINOR","次要"
"MS Excel XML","微软 Excel XML"
"Magento Admin","Magento 管理"
"Magento Commerce - Administrative Panel","Magento Commerce - 管理面板"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento Connect管理器"
"Magento Logo","Magento Logo"
"Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.","Magento 是 Irubin Consulting Inc. DBA Varien 的注册商标。版权所有 &copy; %s Irubin Consulting Inc."
"Magento ver. %s","Magento 版本 %s"
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","Magento&trade; 是 Irubin Consulting Inc. DBA Varien 的注册商标。<br/>版权所有 &copy; %s Irubin Consulting Inc."
"Main Tabs","主选项卡"
"Make Inactive","标记为闲置的"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","确认数据编码在这文件里是一致的并且保存为支持的编码 (UTF-8 or ANSI)."
"Make sure that you configure the design settings for the Payflow Link form in your Payflow link account.","确认你配置的设计设置给这Payflow链接从你的Payflow链接账户."
"Manage Attribute Sets","管理属性集设置"
"Manage Attributes","管理属性集"
"Manage Categories","管理分类"
"Manage Content","管理内容"
"Manage Currency Rates","管理货币汇率"
"Manage Customers","管理客户"
"Manage Ratings","管理评价"
"Manage Stores","管理商店"
"Manage Tax Rules","管理杂费规则"
"Manage Tax Zones and Rates","管理杂费区和费率"
"Manage osCommerce Orders","管理 osCommerce 订单"
"Manage osCommerce Profiles","管理 osCommerce 配置文件"
"Manual","手册"
"Matched Expression","匹配表达式"
"Max","最多"
"Mb","Mb"
"Media (.avi, .flv, .swf)","多媒体 (.avi, .flv, .swf)"
"Media storages synchronization has completed!","Media储存同步成功!"
"Messages Inbox","收件箱"
"Min","最少"
"Month","月份"
"More Tabs","更多选项卡"
"Most Viewed","最受欢迎"
"Most Viewed Products","被关注最多的商品"
"Multiple Select","多选"
"My Account","我的帐户"
"N/A","无"
"NOTICE","通告"
"Name","姓名"
"Name on Card","持卡人姓名"
"Name on the Card: %s","持卡人姓名：%s"
"Name:","姓名:"
"New ","新 "
"New API Key","新 Api 密钥"
"New Accounts","新账户"
"New Attribute","新属性"
"New Block","新建块"
"New Category","新建分类"
"New Class","新建类"
"New Condition","新建条件"
"New Custom Variable","新建客户自定义变量"
"New Customer","新建客户"
"New Customers","新客户"
"New Design Change","新建设计更改"
"New Email Template","新建邮件模板"
"New Group","新建分组"
"New Invoice","新建发票"
"New Item Type","新项目类型"
"New Memo","新建备忘录"
"New Memo for #%s","新建备忘录给 #%s"
"New Page","新建页面"
"New Password","新的密码"
"New Poll","新建投票"
"New Profile","新建建配置文件"
"New Rate","新建利率"
"New Rating","新建评级"
"New Review","新建的评论"
"New Role","新建角色"
"New Rule","新建规则"
"New Search","新建搜索"
"New Set","新建设置"
"New Shipment","新建货运"
"New Sitemap","新建网站地图"
"New Store View","创建商店界面"
"New System Template","创建系统模板"
"New Tag","创建标签"
"New Template","创建模板"
"New User","创建用户"
"New Variable","创建变量"
"New Website","创建站点"
"New admin password","创建管理员密码"
"Newsletter","电子杂志"
"Newsletter Problems","电子杂志问题"
"Newsletter Queue","电子杂志列队"
"Newsletter Subscribers","电子杂志订阅者"
"Newsletter Templates","电子杂志模板"
"Next month (hold for menu)","下一月 （按住弹出菜单）"
"Next page","下一页"
"Next year (hold for menu)","下一年 （按住弹出菜单）"
"No","否"
"No (price without tax)","否(价格不含税)"
"No Data Found","没有数据"
"No Templates Found","没有找到模板"
"No change","不做更改"
"No customer id defined.","没有客户ID被定义."
"No information available.","无可用信息."
"No profile loaded...","没有加载配置文件..."
"No records found for this period.","该时间段内没有找到记录。"
"No records found.","没有数据"
"No report code specified.","没有报告代码明确说明"
"No search keywords.","没有搜索关键词。"
"No search modules were registered","无搜索模块被注册"
"No wishlist item id defined.","无收藏夹项目ID被定义."
"None","无"
"Note:","注释:"
"Notes","说明"
"Notifications","通知"
"Number of Orders","订单数量"
"Number of Uses","使用次数"
"Number of records:","记录条数："
"Old rate:","原来杂费率："
"On my website","在我的网站"
"Once you log into your Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","登陆你的Payflow Link账户, 通过服务设置 - 服务器结账页面 - 创建菜单和设置选项"
"One or more media files failed to be synchronized during the media storages syncronization process. Refer to the log file for details.","一个或者多个文件没有同步. 请参考详细的日志文件."
"One or more of the Cache Types are invalidated:","一个或者多个缓存类型无效:"
"Online Customers","在线客户"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","仅""全局""属性、输入类型""下拉菜单""和用于创建可配置商品""是"" 可用。"
"Only mapped fields","仅映射字段"
"Optional","可选"
"Options","选项"
"Options menu items","选择菜单项"
"Order #%s","订单号%s"
"Order #%s (%s)","订单号%s (%s)"
"Order Created Date","订单创建日期"
"Order ID","订单编号"
"Order Totals","订单总额"
"Order Updated Date","订单更新日期"
"Order Updated Date report is real-time, does not need statistics refreshing.","订单更新日期报表是实时的, 不需要刷新状态."
"Order cannot be placed.","订单不能被前置."
"Orders","订单"
"Original Magento attribute names in first row:","第一行是Magento属性的原始名："
"Out of stock","已脱销"
"PDT (Payment Data Transfer) Only","只能支付网关数据传输"
"Package","安装包"
"Package Extensions","扩展包"
"Packages","包"
"Page","页"
"Pages","页面"
"Parent Product Thumbnail","父级产品缩略图"
"Parent Transaction ID","父级交易ID"
"Passive mode","被动模式"
"Password","密码"
"Password Confirmation","密码确认"
"Password confirmation must be same as password.","两次密码必须相同。"
"Password must be at least of %d characters.","密码至少 %d 个字节。"
"Password must include both numeric and alphabetic characters.","密码必须通知包括数字和英文字母。"
"Password:","密码："
"Path","路径"
"Path:","路径："
"Payment method instance is not available.","支付方式实例不可用。"
"Payment method is not available.","支付方式不可用。"
"Payment method must be specified.","必须指定支付方式。"
"Pending Reviews","等待的评论"
"Pending Tags","待审批标签"
"Per Item","每商品"
"Per Order","每订单"
"Percent","百分比"
"Performed At","执行时间"
"Period","区间"
"Permanent (301)","永久 (301)"
"Permissions","权限"
"Personal Information","个人信息"
"Phone:","电话："
"Please Select","请选择"
"Please confirm site switching. All data that hasn\'t been saved will be lost.","请确认切换网站，所有未保存的数据将丢失。"
"Please continue with placing order.","请继续订购."
"Please enter 6 or more characters.","请输入6个或更多字符。"
"Please enter a number greater than 0 in this field.","请在该栏目输入大于0的数字。"
"Please enter a valid $ amount. For example $100.00.","请输入正确的金额，例如 $100.00"
"Please enter a valid URL. For example http://www.example.com or www.example.com","请输入正确的网址，例如 http://www.Magentochina.org 或 www.magentochina.org"
"Please enter a valid URL. http:// is required","请输入正确的网址。必须带http://"
"Please enter a valid credit card number.","请输入正确的信用卡号码。"
"Please enter a valid date.","请输入正确的日期。"
"Please enter a valid email address. For example johndoe@domain.com.","请输入正确的电子邮件地址。例如 samshuai@magentochina.org"
"Please enter a valid email.","请输入一个有效的电子邮件."
"Please enter a valid number in this field.","请在这里输入一个有效的数字."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","请输入正确的电话号码。例如 (123) 456-7890 或 123-456-7890"
"Please enter a valid social security number. For example 123-45-6789.","请输入正确的社会保险号。例如 123-45-6789"
"Please enter a valid value from list","请从列表中输入一个有效值"
"Please enter a valid value, ex: 10,20,30","请输入一个有效值, 例如：10, 20, 30"
"Please enter a valid zip code.","请输入正确的邮编。"
"Please enter a valid zip code. For example 90602 or 90602-1234.","请输入正确的邮编。例如 90602 或 90602-1234"
"Please enter another credit card number to complete your purchase.",请输入另外一个信用卡号来完成你的购买."
"Please enter valid password.","请输入正确的密码。"
