"%s","%s"
"%s already exist.","%s 已存在"
"%s already exists.","%s 已存在"
"-- Please Select --","-- 请选择 --"
"Please enter a valid number in this field.","请输入正确的数字在这里。"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","请输入正确的电话号码。例如(123) 456-7890 or 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","请输入正确的social security号码。例如 123-45-6789."
"Please enter a valid year (1900-%d).","请输入正确的年份 (1900-%d)."
"Please enter a valid zip code.","请输入正确的邮编。"
"Please enter a valid zip code. For example 90602 or 90602-1234.","请输入正确的邮编。例如 90602 or 90602-1234."
"Please enter issue number or start date for switch/solo card type.","请输入issue号码或switch/solo卡类型的开始时间。"
"Please enter valid password.","请输入正确的密码。"
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","请输入有效的CSS-长度. 例如 100px 或者 77pt 或者 20em 或者 .5ex or 50%。"
"Please make sure your passwords match.","请确认密码一致。"
"Please select State/Province.","请选择省份。"
"Please select an option.","请选择。"
"Please select one of the above options.","请在上面选择。"
"Please select one of the options.","请选择。"
"Please specify either a category or a product, or both.","请指定一个类别或产品，或两者。"
"Please specify payment method.","请指定支付方式。"
"Please specify shipping method.","请指定配送方法。"
"Please use letters only (a-z or A-Z) in this field.","请使用字母 (a-z 或 A-Z) 填写此栏。"
"Please use letters only (a-z) in this field.","请在该栏目中仅输入字母(a-z)。"
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","请在此处仅使用数字，避免使用空格或者其他字符如点和逗号等"
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","请使用字母(a-z or A-Z)或数字(0-9)。空格或其他字符是不允许的。"
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","请使用字母（az或AZ）或数字（0-9）或空格和＃。"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in this field, first character must be a letter.","请使用字母(a-z or A-Z)，数字(0-9)或下划线(_)，第一个字符必须是字母。"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","请使用字母(a-z)或数字(0-9)。空格或其他字符是不允许的。"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","请使用字母（a-z）或数字（0-9）或空格和＃。."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","请使用字母(a-z)，数字(0-9)或下划线(_)，第一个字符必须是字母。"
"Please use only visible characters and spaces.","只能使用可见字符和空格。"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","请使用日期格式：dd/mm/yyyy，例如 17/03/2006 表示 2006年3月17日"
"Please wait, loading...","请稍候，加载中..."
"Polls","投票"
"Port (25)","端口 (25)"
"Profiler","调试器"
"Request Path for Specified Store","需要输入商店的路径"
"Requested invalid store ""%s""","请求的商店""%s""有误"
"Resource is not set.","资源未设置。"
"Return-Path Email","电子邮件返回路径"
"Root Category","根目录"
"Sales Representative","业务代表"
"Save","保存"
"Save Store","保存商店"
"Save Store View","保存商店界面"
"Save Website","保存网站"
"Search Engines Optimization","搜索引擎优化"
"Secure","安全"
"Security","安全"
"Select Date","选择日期"
"Select Media Database","选择媒体资料库"
"Sender Email","发件人地址"
"Sender Name","发件人姓名"
"Services","服务"
"Session Cookie Management","Session Cookie 管理"
"Session Lifetime (seconds)","Session 保存时间 (秒)"
"Session Validation Settings","Session 检验设置"
"Set Return-Path","设置返回路径"
"Set as Default","设为默认"
"Skin (Images / CSS)","皮肤 (图像/CSS)"
"Sort Order","排序"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","指定的日期/时间 ""%1$s"" 与格式 ""%2$s"" 不符。"
"Start date cannot be greater than end date.","开始日期不能大于结束日期。"
"Startup Page","起始页"
"Status","状态"
"Storage Configuration for Media","媒体存储配置"
"Store","商店"
"Store Contact Address","店铺联系地址"
"Store Contact Information","商店联系人信息"
"Store Contact Telephone","商店联系人电话"
"Store Email Addresses","店铺Email地址"
"Store Information","商店信息"
"Store Name","商店名称"
"Store View","商店界面"
"Store View Information","商店界面信息"
"Store View Name","商店界面名称"
"Store view doesn't exist","商店视图不存在"
"Store with the same code","商店代码重复"
"System","系统"
"System Log File Name","系统日志文件名"
"Template Path Hints","模板路径提示"
"Template Variables","模板变量"
"Templates","模板"
"Text length does not satisfy specified text range.","文本长度不符合规定的文本范围。"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","您输入的 %s 无效。请确保地址符合如下格式：""http://magentochina.com/"" ."
"The model collection resource name is not defined.","该模型的集合资源名称没有定义。"
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","商店代码可能只包含字母（az），数字（0-9）或下划线（_），第一个字符必须是字母"
"The store does not exist","这商店不存在"
"The store has been deleted.","商店已被删除。"
"The store has been saved.","商店已被保存。"
"The store view has been deleted.","商店视图已被删除。"
"The store view has been saved","商店视图已被保存。"
"The template Name must not be empty.","模板的名称不能为空。"
"The value is not within the specified range.","模板的名称不能为空。"
"The website does not exist.","网站不存在。"
"The website has been deleted.","网站被删除。"
"The website has been saved.","网站已保存。"
"Themes","主题"
"This category and all its child elements","此目录记所有子元素"
"This category and its child categories only","仅限此目录及其子目录"
"This category and its products only","仅限此目录及其下属商品"
"This category only","仅限该分类"
"This date is a required value.","日期是必填。"
"This is a required field.","此栏不能为空。"
"This store cannot be deleted.","无法删除商店"
"This store view cannot be deleted.","无法删除商店视图"
"This website cannot be deleted.","无法删除网站"
"This will be displayed just before body closing tag.","在这里输入的将被显示在主体之前"
"This will be included before head closing tag in page HTML.","这里输入的将包含在页面HTML头标签之前"
"Timezone","时区"
"Title Prefix","标题前缀"
"Title Suffix","标题后缀"
"Translate Inline","内联翻译"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","翻译，块和其它输出缓存都应该被禁用，前台和后台管理内嵌翻译。"
"Translations","翻译"
"Two and more slashes together are not permitted in request path","两个以上的斜线在一起不允许在请求路径"
"Two and more slashes together are not permitted in url rewrite suffix","两个以上的斜线在一起不允许在后缀URL重写"
"Unable to create directory: %s","无法创建目录：%s"
"Unable to delete store view. Please, try again later.","无法删除商店视图。请稍后重试。"
"Unable to delete store. Please, try again later.","无法删除商店。请稍后重试。"
"Unable to delete website. Please, try again later.","无法删除网站。请稍后重试。"
"Unable to proceed. Please, try again","无法继续，请稍后再试。"
"Unable to proceed. Please, try again.","无法进行。请再试一次。"
"Unable to save file ""%s"" at ""%s""","无法保存""%s"" 在 ""%s"""
"Unable to save file: %s","无法保存：%s"
"Unknown scope ""%s"".","未知范围""%s"""
"Unsecure","未加密"
"Url Options","网址选项"
"Use Custom Admin URL","使用自定义管理URL"
"Use HTTP Only","只使用HTTP"
"Use SID on Frontend","前台使用SID"
"Use Secure URLs in Admin","管理界面使用安全链接"
"Use Secure URLs in Frontend","前台使用安全链接"
"Use Web Server Rewrites","使用服务器网址重写"
"Validate HTTP_USER_AGENT","检验 HTTP_USER_AGENT"
"Validate HTTP_VIA","检验 HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","检验 HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","检验 REMOTE_ADDR"
"Validation has failed.","验证失败."
"Values less than 60 are ignored. Note that changes will apply after logout.","值低于60将被忽略.更改将在注销后生效."
"Variable Code must be unique.","变量代码必须是唯一的."
"Web","网站"
"Website","网站"
"Website Information","网站信息"
"Website Name","网站名称"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","网站代码只能含字母(a-z)、数字(0-9)或下划线(_)，第一个字符必须是字母"
"Website with the same code","网站代码重复"
"Weekend Days","周末"
"Welcome Text","欢迎文字"
"When changing media storage or selecting another media database,use the Synchronize function to transfer media to the selected storage. After synchronization is completed, all new media will be automatically placed to the selected media storage.","当更换媒体存储或选择其他媒体数据库，使用同步功能转移到选定的媒体存储。同步完成后，将所有新媒体自动放置到存储选择的媒体。"
"Wrong file info format","错误的文件格式"
"Wrong number of arguments for %s","%s的参数数量错误"
"Yes","是"
"Your design change for the specified store intersects with another one, please specify another date range","您为指定的商店的设计与另一个冲突，请指定其他日期范围"
"Your order cannot be completed at this time as there is no payment methods available for it.","缺少可用的支付方式，暂时无法完成您的订单。"
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","缺少可用的配送方式,暂时无法完成您的订单。请对您的配送地址做必要的更改。"
"Your session has been expired, you will be relogged in now.","您的会话已过期，现在重新登录。"
"database ""%s""","数据库""%s"""
